1|Titanic|Drama|Una aristócrata de 17 años se enamora de un amable pero pobre artista, abordo del lujoso pero desfortunado RMS Titanic.
2|El Perfecto Asesino|Accion|Mathilda, una niña de 12 años, después de que su familia fuera asesinada, es acogida a regañadientes por Léon, un asesino profesional. Léon y Mathilda forman una relación inusual, ya que ella se convierte en su protegida y aprende el oficio de asesino.
3|La Era del Hielo|Animacion|Situados durante la Edad de Hielo, un tigre dientes de sable, un perezoso y un mamut lanudo encuentran a un infante humano perdido y tratan de devolverlo a su tribu.
